resblock_id,lon_earth,lat_earth
5011102209555,121.4664688,31.30652428
5012970782109764,121.5214005,31.32328796
5011000014655,121.4397659,31.22421455
5011102206984,121.3731003,31.1139679
5011102209271,121.4775467,31.2926693
5020023453328723,121.4852524,31.25781631
5011102208547,121.4869766,31.25654221
509821540319246,121.4869766,31.25654221
5011102208199,121.5052719,31.23787498
5011102208067,121.4653778,31.22794724
5011000013161,121.4471664,31.18071747
5011102208644,121.4846802,31.26794624
5011102208433,121.4640274,31.25470924
5011102207639,121.4638214,31.20076561
5011000002205,121.4120865,31.24524117
5011000012565,121.4621582,31.23324203
5011102208633,121.4629517,31.26733017
5011102208876,121.4576645,31.27812195
5017908007972765,121.4965897,31.28205109
509821540057185,121.4593048,31.23374557
5012970569249681,121.4723282,31.21665955
5011000000208,121.4525604,31.22747421
5011000005049,121.4384155,31.23530388
5011000017830,121.4431076,31.24149132
509821540057718,121.4144745,31.22014618
5011000015799,121.4365692,31.23045349
5017541619528390,121.4934311,31.22919273
5011000001323,121.555069,31.16051865
509821540058088,121.5575333,31.23908234
5011000012462,121.4342804,31.24367142
509821540057550,121.4410858,31.18100548
5011000011039,121.4013443,31.22265244
5011000005514,121.4260178,31.23982811
5017747398134507,121.5199966,31.2624054
5011000001569,121.4474487,31.26740265
5011102208033,121.2138062,31.22244644
5011000010388,121.4430542,31.26444626
5011000001318,121.4256058,31.2766037
5020022080257680,121.4391556,31.28495216
5020031448966564,121.5008392,31.31675529
509977363955729,121.4812775,31.19633865
5011000000153,121.3310547,31.2714386
5011000000672,121.4593811,31.25169754
5011700916990018,121.1097794,31.16127205
5011062653497096,121.3371658,31.3275032
5020027503694946,121.4794922,31.25700188
5010250594824132,121.3787537,31.19540024
5020034409341298,121.4823761,31.25523186
5011000011806,121.5288162,31.22847366
5011000004808,121.4442596,31.22860527
5011000009827,121.4107285,31.20032883
5011000004106,121.477066,31.20974731
5015666419347521,121.40345,31.21209145
5020037576076823,121.3797836,31.11354828
5020022687512474,121.5145798,31.29059219
5011000012483,121.1539688,31.29309273
5011000017803,121.5213394,31.24310493
5017545420114184,121.5804214,31.32207489
5011000000610,121.3315506,31.26947021
5020021156162565,121.3069382,31.11961365
509821540057656,121.502449,31.16728401
5020028059688996,121.5239792,31.2135601
5011000009248,121.2615356,31.1987114
5011000016032,121.4375381,31.23612595
5011000004995,121.469696,31.22235298
5015054108920662,121.4741745,31.33109283
5020022064525940,121.4769592,31.33273315
5015958913331369,121.4737778,31.3310318
5020027674711922,121.4737701,31.3308754
5012970538840165,121.4769058,31.33273315
5012970538840166,121.4769058,31.33273315
5012970538840167,121.4734039,31.33090401
5020026900578479,121.4731903,31.33090019
5012970538840168,121.4730606,31.33080292
5013130274976260,121.4742737,31.32931328
5012970538840169,121.4431839,31.3264122
5012970538840171,121.4540939,31.32869339
5012970538840172,121.4592285,31.32955551
5012970538840173,121.4577789,31.32922935
5013421229649691,121.4574432,31.32998085
5012970538840174,121.4573059,31.32916641
5012970538840175,121.4570084,31.32910919
5012970538840176,121.456749,31.32913971
5012970538840177,121.4562302,31.32912827
5012970538840178,121.4562302,31.32912827
5012970538840179,121.4513779,31.32898712
5012970538840180,121.4514008,31.32898521
5012970538840181,121.4511642,31.32893944
5020024711133443,121.4489212,31.32883644
5012970538840182,121.4493942,31.32856369
5012970538840183,121.4490204,31.32842064
5012970538840184,121.4486008,31.32838249
5012970538840185,121.448349,31.32834053
5020024556967492,121.4483185,31.3282547
5012970538840186,121.4478149,31.32816887
5012970538840187,121.4475784,31.3280983
5015932318822333,121.4464722,31.32735062
5012970538840188,121.4465332,31.32711601
5012970538840190,121.4464493,31.32743645
5015932806957327,121.4464874,31.32732964
5012970538840191,121.4610519,31.33028984
5012970538840192,121.4461365,31.32764435
5012970538840193,121.4460907,31.32768631
5012970538840194,121.4460144,31.32765579
5012970538840195,121.4460144,31.32765579
5012970538840196,121.445816,31.32746696
5012970538840197,121.4458618,31.32761574
5012970538840198,121.4458084,31.32759476
5012970538840199,121.4457397,31.32789612
5012970538840200,121.4457626,31.32756424
5012970538840201,121.445755,31.32790565
5012970538840202,121.445694,31.32753563
5012970538840203,121.4450912,31.32735443
5012970538840204,121.4454803,31.32780457
5012970538840205,121.4453659,31.32777405
5012970538840206,121.4446487,31.32720375
5020024936730419,121.4485245,31.31421852
5012970538840207,121.4444275,31.32713318
5012970538840208,121.4443665,31.3271122
5012970538840209,121.4446793,31.32754326
5012970538840210,121.4445267,31.32751274
5016139490201254,121.4444122,31.32743645
5012970538840212,121.444046,31.32734299
5012970538840213,121.4440079,31.32735252
5012970538840214,121.4606705,31.33010864
5012970538840215,121.4412384,31.32551384
5012970538840216,121.4433212,31.32650566
5012970538840217,121.4433212,31.32650566
5012970538840221,121.4426346,31.3269558
5012970538840222,121.4423141,31.32686996
5012970538840223,121.4417419,31.32652664
5011000018315,121.4424286,31.23667717
509821540057115,121.4259186,31.25815201
5011000016695,121.4662018,31.30424118
5011000004327,121.4667892,31.30436897
5011000017484,121.4903793,31.11982918
5011000000424,121.4899063,31.11883545
5011000010244,121.486618,31.11795616
5011000001752,121.4899063,31.11848259
5011063973828,121.4869843,31.11657333
5011000005239,121.4836578,31.11618042
5011000001014,121.4870148,31.11613846
5011000015560,121.4526596,31.24233627
5011000015958,121.5242767,31.22413826
5012970538840227,121.4855957,31.21809578
5012970538840228,121.4856415,31.2181263
5011000014915,121.4508057,31.21388054
5011000017777,121.4340897,31.21471024
5011102208041,121.5456467,31.22741318
5011000016918,121.4336929,31.21491814
