resblock_id,resblock_name,district_name
5012970751701226,丁香路1188号,浦东新区
5012970751701227,丁香路1191号,浦东新区
5012970751701228,丁香路1192号,浦东新区
5012970751701229,丁香路1195号,浦东新区
5012970751701230,丁香路1198号,浦东新区
5012970751701231,丁香路1203号,浦东新区
5012970751701232,丁香路1213号,浦东新区
5012970751701233,丁香路1318号,浦东新区
5012970751701234,丁香路1320号,浦东新区
5012970751701235,丁香路1322号,浦东新区
5012970751701236,丁香路1330号,浦东新区
5012970751701237,丁香路1336号,浦东新区
5012970751701238,丁香路1338号,浦东新区
5018245875435958,丁香路1342号,浦东新区
5012970751701239,丁香路1344号,浦东新区
5012970751701240,丁香路1346号,浦东新区
5012970751701241,丁香路1350号,浦东新区
5012970751701242,丁香路1352号,浦东新区
5012970751701243,丁香路1354号,浦东新区
5020022109648809,丁香路1362号,浦东新区
5012970751701244,丁香路1366号,浦东新区
5012970751701245,丁香路1372号,浦东新区
5012970751701246,丁香路1374号,浦东新区
5012970751701247,丁香路1378号,浦东新区
5012970751701248,丁香路1380号,浦东新区
5012970751701249,丁香路1390号,浦东新区
5012970751701252,丁香路1404号,浦东新区
5012970751701253,丁香路199号,浦东新区
5012970569248916,七宝南路104号,闵行区
5011063570431,七宝宝龙城,闵行区
5012970569248918,七宝新龙路1085号,闵行区
5012970569248914,七宝老街100号,闵行区
5012970569248915,七宝联明路339号,闵行区
5020033710639279,七宝镇北大街,闵行区
5011000013164,七建大厦,徐汇区
5011102207012,七星创业园,闵行区
5011102206981,七星商务楼,闵行区
5011000020032,七欣科工业园,松江区
5011000010965,七浦公寓,静安区
5012970569248920,七浦路113弄28号,静安区
5012970569248921,七浦路1161-1162号,静安区
5012970569248922,七浦路138号,虹口区
5012970569248923,七浦路151号,虹口区
5012970569248925,七浦路177号,静安区
5012970569248927,七浦路186号,静安区
5012970569248928,七浦路218号,静安区
5012970569248929,七浦路219弄19号,静安区
5012970569248930,七浦路225-253号,静安区
5012970569248937,七浦路308号,静安区
5012970569248938,七浦路318号,静安区
5012970569248939,七浦路328弄1号,静安区
5012970569248943,七浦路400号,静安区
5012970569248944,七浦路458号,静安区
5012970569248945,七浦路466号,静安区
5012970569248946,七浦路79-81号,虹口区
5011000017164,七浦路服装市场,静安区
5020028423747907,七莘红点城,闵行区
5011063202155,七莘路1318号,闵行区
5012970569248948,七莘路1680-1644号,闵行区
5012970569248949,七莘路1680-1694号,闵行区
5012970569248950,七莘路1694号,闵行区
5020031640992089,七莘路1796号,闵行区
5012970569248951,七莘路1808号,闵行区
5012970569248952,七莘路181弄13号,闵行区
5012970569248955,七莘路1865号,闵行区
5012970569248957,七莘路2237号,闵行区
5020022408493888,七莘路2251号,闵行区
5013218501897696,七莘路2288弄2区1号,闵行区
5012970569248958,七莘路2290号,闵行区
5012970569248959,七莘路2299弄30号,闵行区
5012970569248960,七莘路2315号,闵行区
5012970569248961,七莘路2317-2321号,闵行区
5012970569248962,七莘路2319号,闵行区
5012970569248963,七莘路2321号,闵行区
5012970569248964,七莘路2427号,闵行区
5012970569248965,七莘路2588号,闵行区
5012970569248966,七莘路2610号,闵行区
5012970569248971,七莘路2891号,闵行区
5012970569248972,七莘路2893号,闵行区
5012970569248973,七莘路2897号,闵行区
5020025801915145,七莘路2905号,闵行区
5012970569248974,七莘路2907号,闵行区
5012970569248975,七莘路2911号,闵行区
5016437705453135,七莘路2923号,闵行区
5012970569248976,七莘路2938弄9号,闵行区
5012970569248977,七莘路2953号,闵行区
5012970569248978,七莘路2957号,闵行区
5016045345638489,七莘路2968号,闵行区
5012970569248979,七莘路299弄30号,闵行区
5012970569248981,七莘路3015弄1023号,闵行区
5012970569248982,七莘路3023号,闵行区
5012970569248983,七莘路3032弄55号,闵行区
5012970569248984,七莘路3155号,闵行区
5012970569248986,七莘路3333号3区35号,闵行区
5012970569248988,七莘路3333弄68号,闵行区
5012970569248989,七莘路3535号,闵行区
5020025164269087,七莘路3577号,闵行区
5012970569248990,七莘路3588号,闵行区
5012970569248992,七莘路3599号,闵行区
5012970569248995,七莘路646弄103号,闵行区
5012970569248996,七莘路658号,闵行区
5012970569248997,七莘路707号,闵行区
5012970569248999,七莘路756号,闵行区
5011102206908,七莘路765弄,闵行区
5012970569249000,七莘路82号,闵行区
5013944794131971,七铺路488号,静安区
5011000013574,七韵美地苑,闵行区
5011000016910,万三小区,长宁区
5020023570805130,万业一番空间,普陀区
5011000005428,万业新阶,普陀区
5011000019606,万业梦立方,松江区
5011000014814,万业紫辰苑,宝山区
5011000006188,万东小区,虹口区
5011000003987,万东第二小区,虹口区
5011000004018,万丰别墅,浦东新区
5011000003952,万临家园,宝山区
5011000018863,万乐城(公寓),闵行区
5011000000778,万乐城(商业类),闵行区
5011000013902,万事利大厦,黄浦区
5011000005135,万事发公寓,青浦区
