公立学校,城区,经度,纬度,梯队（1表示一梯队，以此类推）
宝山区祁连镇中心校,宝山区,121.485597,31.40622,4
宝山区盛桥中心校,宝山区,121.398724,31.452007,4
宝山区石洞口小学,宝山区,121.396696,31.452629,4
刘行新华实验学校（新）,宝山区,121.356937,31.349702,4
上海市奉贤区五四学校(小学),奉贤区,121.734493,30.864603,4
上海市奉贤区星火学校(小学),奉贤区,121.563288,30.86393,4
宝山区月浦新村第二小学,宝山区,121.417327,31.417949,4
"闵行区罗阳小学
闵行区罗阳小学
闵行区罗阳小学",闵行区,121.33697,31.417712,4
上海中医药大学附属闵行蔷薇小学晶城校区,闵行区,121.429414,31.127668,2
宝山区淞南第二小学,宝山区,121.471221,31.334854,4
宝山区淞南中心校,宝山区,121.491153,31.348568,4
宝山区长江路小学,宝山区,121.483572,31.347723,4
上海戏剧学院附属新世界实验小学(洪山校区),浦东新区,121.396694,31.158654,2
宝山区第二中心小学,宝山区,121.427886,31.337875,4
宝山区呼玛路小学,宝山区,121.440409,31.343513,4
宝山区第三中心小学,宝山区,121.437876,31.338309,2
宝山区通河新村小学,宝山区,121.444305,31.339854,4
宝山区通河新村第二小学,宝山区,121.448343,31.335395,4
宝山区陈伯吹实验小学,宝山区,121.442428,31.332593,4
宝山区通河新村第三小学,宝山区,121.444014,31.334108,4
奉贤区育秀实验学校,奉贤区,121.456835,30.907814,2
万里城实验学校,普陀区,121.414477,31.265974,3
上海市徐汇区高安路第一小学,徐汇区,121.439029,31.207435,1
朱行小学,金山区,121.329919,30.850741,2
上海市漕河泾新兴技术开发区实验小学,徐汇区,121.396694,31.158654,4
上海市华灵学校（小学）,静安区,121.422805,31.278206,4
上海市崇明区圆沙小学,崇明区,121.761752,31.352468,4
上海市崇明区新民小学,崇明区,121.532791,31.637981,4
上海市崇明区东门小学（大同小区）,崇明区,121.489017,31.648655,2
上海市崇明区西门小学新村小区,崇明区,121.308831,31.836519,3
上海市崇明区实验小学绿华校区,崇明区,121.210254,31.762965,1
上海市奉贤区头桥小学,奉贤区,121.637347,30.951348,4
复旦大学附属闵行实验学校(小学),闵行区,121.395725,31.117855,4
上海世外教育附属浦江外国语学校,闵行区,121.515682,31.090002,4
上海工程技术大学松江实验学校泗泾分校（暂名）（小学）,松江区,121.254876,31.107137,4
上海外国语大学松江实验学校（暂名）,松江区,121.241295,31.063064,4
上海市徐汇区西位实验小学,徐汇区,121.407463,31.182312,4
